Number	Line1	Line2	Translation	mv	sp	mk	explanation	couplet	transliteration1	transliteration2
1	அகர முதல எழுத்தெல்லாம் ஆதி	பகவன் முதற்றே உலகு.	A' leads letters; the Ancient Lord Leads and lords the entire world	எழுத்துக்கள் எல்லாம் அகரத்தை அடிப்படையாக கொண்டிருக்கின்றன. அதுபோல உலகம் கடவுளை அடிப்படையாக கொண்டிருக்கிறது.	எழுத்துக்கள் எல்லாம் அகரத்தில் தொடங்குகின்றன; (அது போல) உலகம் கடவுளில் தொடங்குகிறது.	அகரம் எழுத்துக்களுக்கு முதன்மை; ஆதிபகவன், உலகில் வாழும் உயிர்களுக்கு முதன்மை	As the letter A is the first of all letters, so the eternal God is first in the world	A, as its first of letters, every speech maintains;The Primal Deity is first through all the world's domains	Akara Mudhala Ezhuththellaam Aadhi	Pakavan Mudhatre Ulaku
2	கற்றதனால் ஆய பயனென்கொல் வாலறிவன்	நற்றாள் தொழாஅர் எனின்.	That lore is vain which does not fall  At His good feet who knoweth all	தூய அறிவு வடிவாக விளங்கும் இறைவனுடைய நல்ல திருவடிகளை தொழாமல் இருப்பாரானால், அவர் கற்ற கல்வியினால் ஆகிய பயன் என்ன?	தூய அறிவு வடிவானவனின் திருவடிகளை வணங்காதவர், படித்ததனால் பெற்ற பயன்தான் என்ன?	தன்னைவிட அறிவில் மூத்த பெருந்தகையாளரின் முன்னே வணங்கி நிற்கும் பண்பு இல்லாவிடில் என்னதான் ஒருவர் கற்றிருந்தாலும் அதனால் என்ன பயன்? ஒன்றுமில்லை	What Profit have those derived from learning, who worship not the good feet of Him who is possessed of pure knowledge ?	No fruit have men of all their studied lore,Save they the 'Purely Wise One's' feet adore	Katradhanaal Aaya Payanenkol Vaalarivan	Natraal Thozhaaar Enin
3	மலர்மிசை ஏகினான் மாணடி சேர்ந்தார்	நிலமிசை நீடுவாழ் வார்.	Long they live on earth who gain The feet of God in florid brain	அன்பரின் அகமாகிய மலரில் வீற்றிருக்கும் கடவுளின் சிறந்த திருவடிகளை பொருந்தி நினைக்கின்றவர், இன்ப உலகில் நிலைத்து வாழ்வார்	மனமாகிய மலர்மீது சென்று இருப்பவனாகிய கடவுளின் சிறந்த திருவடிகளை எப்போதும் நினைப்பவர் இப்பூமியில் நெடுங்காலம் வாழ்வர்	மலர் போன்ற மனத்தில் நிறைந்தவனைப் பின்பற்றுவோரின் புகழ்வாழ்வு, உலகில் நெடுங்காலம் நிலைத்து நிற்கும்	They who are united to the glorious feet of Him who passes swiftly over the flower of the mind, shall flourish long above all worlds	His feet, 'Who o'er the full-blown flower hath past,' who gainIn bliss long time shall dwell above this earthly plain	Malarmisai Ekinaan Maanati Serndhaar	Nilamisai Neetuvaazh Vaar
4	வேண்டுதல் வேண்டாமை இலானடி சேர்ந்தார்க்கு	யாண்டும் இடும்பை இல.	Who hold His feet who likes nor loathes Are free from woes of human births	விருப்பு வெறுப்பு இல்லாத கடவுளின் திருவடிகளை பொருந்தி நினைக்கின்றவர்க்கு எப்போதும் எவ்விடத்திலும் துன்பம் இல்லை	எதிலும் விருப்பு வெறுப்பு இல்லாத கடவுளின் திருவடிகளை மனத்தால் எப்போதும் நினைப்பவருக்கு உலகத் துன்பம் ஒருபோதும் இல்லை	விருப்பு வெறுப்பற்றுத் தன்னலமின்றித் திகழ்கின்றவரைப் பின்பற்றி நடப்பவர்களுக்கு எப்போதுமே துன்பம் ஏற்படுவதில்லை	To those who meditate the feet of Him who is void of desire or aversion, evil shall never come	His foot, 'Whom want affects not, irks not grief,' who gainShall not, through every time, of any woes complain	Ventudhal Ventaamai Ilaanati Serndhaarkku	Yaantum Itumpai Ila
5	இருள்சேர் இருவினையும் சேரா இறைவன்	பொருள்சேர் புகழ்புரிந்தார் மாட்டு.	God's praise who tell, are free from right  And wrong, the twins of dreaming night	கடவுளின் உண்மைப் புகழை விரும்பி அன்பு செலுத்துகின்றவரிடம் அறியாமையால் விளையும் இருவகை வினையும் சேர்வதில்லை	கடவுளின் மெய்மைப் புகழையே விரும்புபவரிடம் அறியாமை இருளால் வரும் நல்வினை, தீவினை என்னும் இரண்டும் சேருவதில்லை	இறைவன் என்பதற்குரிய பொருளைப் புரிந்து கொண்டு புகழ் பெற விரும்புகிறவர்கள், நன்மை தீமைகளை ஒரே அளவில் எதிர் கொள்வார்கள்	The two-fold deeds that spring from darkness shall not adhere to those who delight in the true praise of God	The men, who on the 'King's' true praised delight to dwell,Affects not them the fruit of deeds done ill or well	Irulser Iruvinaiyum Seraa Iraivan	Porulser Pukazhpurindhaar Maattu
6	பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க	நெறிநின்றார் நீடுவாழ் வார்.	They prosper long who walk His way Who has the senses signed away	ஐம்பொறி வாயிலாக பிறக்கும் வேட்கைகளை அவித்த இறைவனுடைய பொய்யற்ற ஒழுக்க நெறியில் நின்றவர், நிலை பெற்ற நல்வாழ்க்கை வாழ்வர்	மெய், வாய், கண், மூக்கு, செவி ஆகிய ஐந்து பொறிகளின் வழிப் பிறக்கும் தீய ஆசைகளை அழித்து கடவுளின் பொய்யற்ற ஒழுக்க வழியிலே நின்றவர் நெடுங்காலம் வாழ்வார்	மெய், வாய், கண், மூக்கு, செவி எனும் ஐம்பொறிகளையும் கட்டுப்படுத்திய தூயவனின் உண்மையான ஒழுக்கமுடைய நெறியைப் பின்பற்றி நிற்பவர்களின் புகழ்வாழ்வு நிலையானதாக அமையும்	Those shall long proposer who abide in the faultless way of Him who has destroyed the five desires of the senses	Long live they blest, who 've stood in path from falsehood freed;His, 'Who quenched lusts that from the sense-gates five proceed'	Porivaayil Aindhaviththaan Poidheer Ozhukka	Nerinindraar Neetuvaazh Vaar
7	தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால்	மனக்கவலை மாற்றல் அரிது.	His feet, whose likeness none can find, Alone can ease the anxious mind	தனக்கு ஒப்புமை இல்லாத தலைவனுடைய திருவடிகளைப் பொருந்தி நினைக்கின்றவர் அல்லாமல், மற்றவர்க்கு மனக்கவலையை மாற்ற முடியாது	தனக்கு இணையில்லாத கடவுளின் திருவடிகளைச் சேர்ந்தவர்க்கே அன்றி, மற்றவர்களுக்கு மனக்கவலையைப் போக்குவது கடினம்	ஒப்பாரும் மிக்காருமில்லாதவனுடைய அடியொற்றி நடப்பவர்களைத் தவிர, மற்றவர்களின் மனக்கவலை தீர வழியேதுமில்லை	Anxiety of mind cannot be removed, except from those who are united to the feet of Him who is incomparable	Unless His foot, 'to Whom none can compare,' men gain,'Tis hard for mind to find relief from anxious pain	Thanakkuvamai Illaadhaan Thaalserndhaark Kallaal	Manakkavalai Maatral Aridhu
8	அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால்	பிறவாழி நீந்தல் அரிது.	Who swims the sea of vice is he Who clasps the feet of Virtue's sea	அறக்கடலாக விளங்கும் கடவுளின் திருவடிகளைப் பொருந்தி நினைக்கின்றவர் அல்லாமல், மற்றவர் பொருளும் இன்பமுமாகிய மற்ற கடல்களைக் கடக்க முடியாது	அறக்கடலான கடவுளின் திருவடிகளை சேர்ந்தவரே அல்லாமல் மற்றவர் பிறவியாக கடலை நீந்திக் கடப்பது கடினம்	அந்தணர் என்பதற்குப் பொருள் சான்றோர் என்பதால், அறக்கடலாகவே விளங்கும் அந்தச் சான்றோரின் அடியொற்றி நடப்பவர்க்கேயன்றி, மற்றவர்களுக்குப் பிற துன்பக் கடல்களைக் கடப்பது என்பது எளிதான காரியமல்ல	None can swim the sea of vice, but those who are united to the feet of that gracious Being who is a sea of virtue	Unless His feet 'the Sea of Good, the Fair and Bountiful,' men gain,'Tis hard the further bank of being's changeful sea to attain	Aravaazhi Andhanan Thaalserndhaark Kallaal	Piravaazhi Neendhal Aridhu
9	கோளில் பொறியின் குணமிலவே எண்குணத்தான்	தாளை வணங்காத் தலை.	Like senses stale that head is vain Which bows not to Eight-Virtued Divine	கேட்காதசெவி, பார்க்காத கண் போன்ற எண் குணங்களை உடைய கடவுளின் திருவடிகளை வணங்காதவரின் தலைகள் பயனற்றவைகளாம்	எண்ணும் நல்ல குணங்களுக்கு எல்லாம் இருப்பிடமான கடவுளின் திருவடிகளை வணங்காத தலைகள், புலன்கள் இல்லாத பொறிகள்போல, இருந்தும் பயன் இல்லாதவையே	உடல், கண், காது, மூக்கு, வாய் எனும் ஐம்பொறிகள் இருந்தும், அவைகள் இயங்காவிட்டால் என்ன நிலையோ அதே நிலைதான் ஈடற்ற ஆற்றலும் பண்பும் கொண்டவனை வணங்கி நடக்காதவனின் நிலையும் ஆகும்	The head that worships not the feet of Him who is possessed of eight attributes, is as useless as a sense without the power of sensation	Before His foot, 'the Eight-fold Excellence,' with unbent head,Who stands, like palsied sense, is to all living functions dead	Kolil Poriyin Kunamilave Enkunaththaan	Thaalai Vanangaath Thalai
10	பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார்	இறைவன் அடிசேரா தார்.	The sea of births they alone swim Who clench His feet and cleave to Him	இறைவனுடைய திருவடிகளை பொருந்தி நினைக்கின்றவர் பிறவியாகிய பெரிய கடலைக் கடக்க முடியும். மற்றவர் கடக்க முடியாது	கடவுளின் திருவடிகளைச் சேர்ந்தவர் பிறவியாகிய பெருங்கடலை நீந்திக் கடப்பர்; மற்றவர் நீந்தவும் மாட்டார்	வாழ்க்கை எனும் பெருங்கடலை நீந்திக் கடக்க முனைவோர், தலையானவனாக இருப்பவனின் அடி தொடர்ந்து செல்லாவிடில் நீந்த முடியாமல் தவிக்க நேரிடும்	None can swim the great sea of births but those who are united to the feet of God	They swim the sea of births, the 'Monarch's' foot who gain;None others reach the shore of being's mighty main	Piravip Perungatal Neendhuvar Neendhaar	Iraivan Atiseraa Thaar
